Date,Price,Open,High,Low,Vol.,Change %
20-04-2022,"2,373.00","2,373.00","2,373.00","2,373.00",,3.13%
19-04-2022,"2,301.00","2,301.00","2,301.00","2,301.00",,2.22%
18-04-2022,"2,251.00","2,251.00","2,251.00","2,251.00",,2.23%
14-04-2022,"2,202.00","2,202.00","2,202.00","2,202.00",,0.00%
13-04-2022,"2,202.00","2,202.00","2,202.00","2,202.00",,0.00%
12-04-2022,"2,202.00","2,202.00","2,202.00","2,202.00",,-0.05%
11-04-2022,"2,203.00","2,203.00","2,203.00","2,203.00",,-0.59%
08-04-2022,"2,216.00","2,216.00","2,216.00","2,216.00",,0.00%
07-04-2022,"2,216.00","2,216.00","2,216.00","2,216.00",,0.54%
06-04-2022,"2,204.00","2,204.00","2,204.00","2,204.00",,0.00%
05-04-2022,"2,204.00","2,204.00","2,204.00","2,204.00",,-0.59%
04-04-2022,"2,217.00","2,217.00","2,217.00","2,217.00",,-1.69%
01-04-2022,"2,255.00","2,255.00","2,255.00","2,255.00",,1.12%
31-03-2022,"2,230.00","2,230.00","2,230.00","2,230.00",,-1.15%
30-03-2022,"2,256.00","2,256.00","2,256.00","2,256.00",,-2.17%
29-03-2022,"2,306.00","2,306.00","2,306.00","2,306.00",,-1.07%
28-03-2022,"2,331.00","2,331.00","2,331.00","2,331.00",,1.04%
25-03-2022,"2,307.00","2,307.00","2,307.00","2,307.00",,2.22%
24-03-2022,"2,257.00","2,257.00","2,257.00","2,257.00",,1.67%
23-03-2022,"2,220.00","2,220.00","2,220.00","2,220.00",,-1.73%
22-03-2022,"2,259.00","2,259.00","2,259.00","2,259.00",,0.04%
21-03-2022,"2,258.00","2,258.00","2,258.00","2,258.00",,-0.04%
18-03-2022,"2,259.00","2,259.00","2,259.00","2,259.00",,0.40%
17-03-2022,"2,250.00","2,250.00","2,250.00","2,250.00",,-0.04%
16-03-2022,"2,251.00","2,251.00","2,251.00","2,251.00",,-1.10%
15-03-2022,"2,276.00","2,276.00","2,276.00","2,276.00",,-3.19%
14-03-2022,"2,351.00","2,351.00","2,351.00","2,351.00",,-0.04%
11-03-2022,"2,352.00","2,352.00","2,352.00","2,352.00",,0.00%
