"Date","Price","Open","High","Low","Vol.","Change %"
"01-04-2022","2,373.00","2,255.00","2,255.00","2,255.00","","6.41%"
"01-03-2022","2,230.00","2,124.00","2,256.00","2,124.00","","4.99%"
"01-02-2022","2,124.00","2,150.00","2,150.00","2,150.00","","-0.05%"
"01-01-2022","2,125.00","2,104.00","2,104.00","2,104.00","","0.95%"
"01-12-2021","2,105.00","2,135.00","2,135.00","2,135.00","","-1.86%"
"01-11-2021","2,145.00","2,127.00","2,127.00","2,127.00","","0.89%"
"01-10-2021","2,126.00","2,063.00","2,063.00","2,063.00","","4.83%"
"01-09-2021","2,028.00","1,967.00","1,967.00","1,967.00","","1.96%"
"01-08-2021","1,989.00","1,905.00","1,905.00","1,905.00","","8.63%"
"01-07-2021","1,831.00","1,775.00","1,780.00","1,775.00","0.23K","5.90%"
"01-06-2021","1,729.00","1,847.00","1,847.00","1,688.00","0.32K","-8.18%"
"01-05-2021","1,883.00","1,846.00","1,847.00","1,828.00","0.03K","-0.74%"
"01-04-2021","1,897.00","1,852.00","1,852.00","1,841.00","0.02K","3.21%"
"01-03-2021","1,838.00","1,851.00","1,865.00","1,851.00","0.26K","2.28%"
"01-02-2021","1,797.00","1,833.00","1,833.00","1,833.00","","-1.21%"
"01-01-2021","1,819.00","1,754.00","1,754.00","1,754.00","","3.82%"
"01-12-2020","1,752.00","1,761.00","1,761.00","1,761.00","","-1.13%"
"01-11-2020","1,772.00","1,781.00","1,781.00","1,781.00","","-0.23%"
"01-10-2020","1,776.00","1,725.00","1,725.00","1,725.00","","2.48%"
"01-09-2020","1,733.00","1,777.00","1,777.00","1,777.00","","-2.48%"
"01-08-2020","1,777.00","1,839.00","1,839.00","1,839.00","","-3.37%"
"01-07-2020","1,839.00","1,909.00","1,909.00","1,909.00","","-3.57%"
"01-06-2020","1,907.00","1,901.00","1,901.00","1,901.00","","1.22%"
"01-05-2020","1,884.00","1,925.00","1,925.00","1,925.00","","-3.09%"
"01-04-2020","1,944.00","1,800.00","1,800.00","1,800.00","0.01K","4.80%"
"01-03-2020","1,855.00","2,031.00","2,031.00","2,000.00","0.02K","-11.67%"
"01-02-2020","2,100.00","2,201.00","2,210.00","2,100.00","0.07K","1.20%"
"01-01-2020","2,075.00","2,200.00","2,290.00","2,073.00","0.12K","-6.74%"
"01-12-2019","2,225.00","2,225.00","2,225.00","2,225.00","","4.22%"
"01-11-2019","2,135.00","2,131.00","2,190.00","2,100.00","1.42K","0.38%"
"01-10-2019","2,127.00","2,081.00","2,171.00","2,075.00","2.34K","2.21%"
"01-09-2019","2,081.00","2,056.00","2,095.00","2,000.00","6.00K","0.92%"
"01-08-2019","2,062.00","2,080.00","2,095.00","2,022.00","7.75K","-0.91%"
"01-07-2019","2,081.00","1,972.00","2,090.00","1,932.00","19.73K","5.31%"
"01-06-2019","1,976.00","1,998.00","1,998.00","1,931.00","17.63K","0.56%"
"01-05-2019","1,965.00","1,890.00","2,011.00","1,877.00","33.10K","3.97%"
"01-04-2019","1,890.00","1,770.00","1,910.00","1,770.00","9.75K","6.00%"
"01-03-2019","1,783.00","1,895.00","1,928.00","1,780.00","0.45K","-7.66%"
"01-02-2019","1,931.00","2,020.00","2,125.00","1,921.00","0.47K","-3.21%"
"01-01-2019","1,995.00","2,100.00","2,116.00","1,980.00","1.10K","-6.16%"
"01-12-2018","2,126.00","2,099.00","2,162.00","2,097.00","0.77K","1.24%"
