Date,Price,Open,High,Low,Vol.,Daily Change (%),Daily Change (%) Squared
20-05-2015,1472.0,1470.0,1476.0,1466.0,0.28,0.0,0.0
21-05-2015,1496.0,1496.0,1514.0,1493.0,5.47,1.63,2.6569
22-05-2015,1489.0,1502.0,1502.0,1487.0,4.38,-0.47,0.22089999999999999
25-05-2015,1473.0,1484.0,1490.0,1468.0,5.96,-1.07,1.1449
26-05-2015,1482.0,1469.0,1485.0,1469.0,7.93,0.61,0.3721
27-05-2015,1484.0,1480.0,1485.0,1477.0,5.77,0.13,0.016900000000000002
28-05-2015,1476.0,1483.0,1485.0,1474.0,1.81,-0.54,0.2916
29-05-2015,1479.0,1475.0,1481.0,1470.0,2.37,0.2,0.04000000000000001
01-06-2015,1480.0,1480.0,1487.0,1477.0,2.89,0.07,0.004900000000000001
02-06-2015,1483.0,1475.0,1485.0,1470.0,3.59,0.2,0.04000000000000001
03-06-2015,1484.0,1480.0,1492.0,1480.0,3.53,0.07,0.004900000000000001
04-06-2015,1484.0,1481.0,1489.0,1479.0,2.3,0.0,0.0
05-06-2015,1472.0,1482.0,1484.0,1462.0,6.72,-0.81,0.6561000000000001
08-06-2015,1456.0,1474.0,1477.0,1452.0,5.93,-1.09,1.1881000000000002
09-06-2015,1453.0,1456.0,1456.0,1447.0,8.17,-0.21,0.04409999999999999
10-06-2015,1455.0,1453.0,1465.0,1449.0,9.27,0.14,0.019600000000000003
11-06-2015,1449.0,1450.0,1461.0,1445.0,6.77,-0.41,0.16809999999999997
12-06-2015,1460.0,1452.0,1462.0,1452.0,1.4,0.76,0.5776
15-06-2015,1467.0,1457.0,1467.0,1457.0,1.27,0.48,0.2304
16-06-2015,1467.0,1467.0,1467.0,1467.0,0.04,0.0,0.0
17-06-2015,1471.0,1470.0,1474.0,1465.0,0.99,0.27,0.0729
18-06-2015,1462.0,1462.0,1463.0,1461.0,1.15,-0.61,0.3721
19-06-2015,1452.0,1460.0,1460.0,1450.0,0.21,-0.68,0.4624000000000001
22-06-2015,1465.0,1475.0,1477.0,1458.0,3.4,0.9,0.81
23-06-2015,1472.0,1465.0,1478.0,1465.0,1.61,0.48,0.2304
24-06-2015,1470.0,1468.0,1473.0,1466.0,1.61,-0.14,0.019600000000000003
25-06-2015,1470.0,1470.0,1473.0,1468.0,1.43,0.0,0.0
26-06-2015,1469.0,1475.0,1475.0,1468.0,0.74,-0.07,0.004900000000000001
29-06-2015,1468.0,1476.0,1476.0,1464.0,2.64,-0.07,0.004900000000000001
30-06-2015,1472.0,1470.0,1473.0,1465.0,2.11,0.27,0.0729
01-07-2015,1486.0,1474.0,1490.0,1473.0,5.21,0.95,0.9025
02-07-2015,1495.0,1485.0,1496.0,1479.0,3.33,0.61,0.3721
03-07-2015,1514.0,1496.0,1515.0,1489.0,10.76,1.27,1.6129
06-07-2015,1502.0,1511.0,1511.0,1499.0,4.28,-0.79,0.6241000000000001
07-07-2015,1502.0,1504.0,1507.0,1500.0,2.11,0.0,0.0
08-07-2015,1496.0,1499.0,1499.0,1488.0,2.91,-0.4,0.16000000000000003
09-07-2015,1498.0,1496.0,1505.0,1491.0,2.92,0.13,0.016900000000000002
10-07-2015,1490.0,1495.0,1508.0,1485.0,7.1,-0.53,0.28090000000000004
13-07-2015,1487.0,1491.0,1499.0,1480.0,4.6,-0.2,0.04000000000000001
14-07-2015,1490.0,1490.0,1490.0,1490.0,0.29,0.2,0.04000000000000001
15-07-2015,1496.0,1499.0,1499.0,1494.0,0.1,0.4,0.16000000000000003
16-07-2015,1503.0,1505.0,1505.0,1500.0,0.22,0.47,0.22089999999999999
17-07-2015,1500.0,1500.0,1500.0,1500.0,0.16,-0.2,0.04000000000000001
20-07-2015,1484.0,1500.0,1500.0,1480.0,0.5,-1.07,1.1449
21-07-2015,1500.0,1510.0,1510.0,1494.0,3.4,1.08,1.1664
22-07-2015,1505.0,1497.0,1507.0,1489.0,2.37,0.33,0.10890000000000001
23-07-2015,1504.0,1504.0,1514.0,1501.0,1.69,-0.07,0.004900000000000001
24-07-2015,1512.0,1497.0,1514.0,1496.0,2.32,0.53,0.28090000000000004
27-07-2015,1514.0,1505.0,1517.0,1505.0,1.9,0.13,0.016900000000000002
28-07-2015,1525.0,1520.0,1529.0,1508.0,5.8,0.73,0.5328999999999999
29-07-2015,1525.0,1523.0,1526.0,1521.0,0.92,0.0,0.0
30-07-2015,1522.0,1519.0,1523.0,1514.0,0.53,-0.2,0.04000000000000001
31-07-2015,1515.0,1518.0,1520.0,1514.0,0.55,-0.46,0.2116
03-08-2015,1497.0,1515.0,1516.0,1466.0,4.08,-1.19,1.4161
04-08-2015,1491.0,1492.0,1500.0,1489.0,1.88,-0.4,0.16000000000000003
05-08-2015,1493.0,1488.0,1499.0,1487.0,1.31,0.13,0.016900000000000002
06-08-2015,1491.0,1476.0,1496.0,1476.0,2.08,-0.13,0.016900000000000002
07-08-2015,1504.0,1491.0,1519.0,1466.0,9.09,0.87,0.7569
10-08-2015,1498.0,1508.0,1509.0,1493.0,5.42,-0.4,0.16000000000000003
11-08-2015,1486.0,1493.0,1502.0,1483.0,6.52,-0.8,0.6400000000000001
12-08-2015,1496.0,1495.0,1500.0,1492.0,0.09,0.67,0.4489000000000001
13-08-2015,1493.0,1495.0,1515.0,1487.0,0.53,-0.2,0.04000000000000001
14-08-2015,1500.0,1499.0,1515.0,1499.0,0.14,0.47,0.22089999999999999
17-08-2015,1498.0,1501.0,1501.0,1486.0,0.17,-0.13,0.016900000000000002
18-08-2015,1495.0,1495.0,1499.0,1490.0,0.12,-0.2,0.04000000000000001
19-08-2015,1499.0,1499.0,1500.0,1494.0,0.17,0.27,0.0729
20-08-2015,1523.0,1495.0,1548.0,1495.0,0.27,1.6,2.5600000000000005
21-08-2015,1519.0,1515.0,1520.0,1511.0,0.93,-0.26,0.06760000000000001
24-08-2015,1515.0,1518.0,1522.0,1512.0,1.28,-0.26,0.06760000000000001
25-08-2015,1512.0,1512.0,1519.0,1511.0,0.69,-0.2,0.04000000000000001
26-08-2015,1510.0,1510.0,1512.0,1506.0,0.77,-0.13,0.016900000000000002
27-08-2015,1508.0,1509.0,1512.0,1453.0,1.03,-0.13,0.016900000000000002
28-08-2015,1507.0,1506.0,1509.0,1505.0,0.41,-0.07,0.004900000000000001
31-08-2015,1514.0,1509.0,1515.0,1505.0,1.78,0.46,0.2116
01-09-2015,1523.0,1515.0,1525.0,1513.0,2.52,0.59,0.34809999999999997
02-09-2015,1525.0,1510.0,1527.0,1510.0,2.49,0.13,0.016900000000000002
03-09-2015,1524.0,1525.0,1526.0,1519.0,1.54,-0.07,0.004900000000000001
04-09-2015,1521.0,1524.0,1526.0,1513.0,0.76,-0.2,0.04000000000000001
07-09-2015,1517.0,1521.0,1522.0,1514.0,0.9,-0.26,0.06760000000000001
08-09-2015,1510.0,1511.0,1511.0,1502.0,1.85,-0.46,0.2116
09-09-2015,1508.0,1510.0,1510.0,1506.0,1.82,-0.13,0.016900000000000002
10-09-2015,1506.0,1505.0,1515.0,1495.0,3.64,-0.13,0.016900000000000002
11-09-2015,1509.0,1504.0,1518.0,1501.0,5.47,0.2,0.04000000000000001
14-09-2015,1513.0,1515.0,1515.0,1510.0,0.32,0.27,0.0729
15-09-2015,1515.0,1515.0,1515.0,1515.0,0.01,0.13,0.016900000000000002
16-09-2015,1518.0,1514.0,1519.0,1514.0,0.38,0.2,0.04000000000000001
17-09-2015,1518.0,1518.0,1518.0,1518.0,,0.0,0.0
18-09-2015,1530.0,1525.0,1533.0,1522.0,0.4,0.79,0.6241000000000001
21-09-2015,1555.0,1549.0,1558.0,1548.0,2.23,1.63,2.6569
22-09-2015,1550.0,1552.0,1555.0,1546.0,1.09,-0.32,0.1024
23-09-2015,1551.0,1545.0,1555.0,1545.0,1.12,0.06,0.0036
24-09-2015,1551.0,1554.0,1554.0,1548.0,0.68,0.0,0.0
25-09-2015,1551.0,1551.0,1551.0,1551.0,,0.0,0.0
28-09-2015,1559.0,1555.0,1570.0,1555.0,1.32,0.52,0.27040000000000003
29-09-2015,1561.0,1560.0,1561.0,1559.0,0.5,0.13,0.016900000000000002
30-09-2015,1554.0,1558.0,1559.0,1550.0,0.42,-0.45,0.2025
01-10-2015,1552.0,1552.0,1556.0,1550.0,0.51,-0.13,0.016900000000000002
05-10-2015,1563.0,1555.0,1566.0,1554.0,0.91,0.71,0.5041
06-10-2015,1566.0,1558.0,1568.0,1558.0,0.71,0.19,0.0361
07-10-2015,1583.0,1569.0,1590.0,1564.0,1.9,1.09,1.1881000000000002
08-10-2015,1589.0,1607.0,1607.0,1582.0,0.97,0.38,0.1444
09-10-2015,1592.0,1600.0,1600.0,1574.0,1.66,0.19,0.0361
12-10-2015,1585.0,1594.0,1597.0,1574.0,1.75,-0.44,0.1936
13-10-2015,1588.0,1590.0,1590.0,1585.0,0.79,0.19,0.0361
14-10-2015,1607.0,1600.0,1613.0,1600.0,0.29,1.2,1.44
15-10-2015,1633.0,1630.0,1635.0,1630.0,0.05,1.62,2.6244000000000005
16-10-2015,1635.0,1650.0,1650.0,1625.0,0.52,0.12,0.0144
19-10-2015,1626.0,1620.0,1630.0,1620.0,0.3,-0.55,0.30250000000000005
20-10-2015,1627.0,1628.0,1628.0,1627.0,0.14,0.06,0.0036
21-10-2015,1656.0,1660.0,1670.0,1655.0,0.75,1.78,3.1684
22-10-2015,1656.0,1656.0,1656.0,1656.0,,0.0,0.0
23-10-2015,1657.0,1651.0,1667.0,1641.0,1.72,0.06,0.0036
26-10-2015,1646.0,1655.0,1660.0,1638.0,1.17,-0.66,0.43560000000000004
27-10-2015,1650.0,1650.0,1656.0,1645.0,0.52,0.24,0.0576
28-10-2015,1649.0,1647.0,1651.0,1646.0,0.25,-0.06,0.0036
29-10-2015,1640.0,1641.0,1641.0,1637.0,0.21,-0.55,0.30250000000000005
30-10-2015,1642.0,1641.0,1651.0,1638.0,1.05,0.12,0.0144
