Date,Price,Open,High,Low,Vol.,Monthly Change (%),Monthly Change (%) Squared
01-06-2007,985.0,940.0,985.0,940.0,2.07,0.0,0.0
01-07-2007,1041.0,993.0,1085.0,993.0,0.07,5.69,32.3761
01-08-2007,1018.6,1011.0,1011.0,1011.0,0.01,-2.15,4.6225
01-05-2009,1107.6,1135.0,1150.0,1087.0,52.84,8.74,76.3876
01-06-2009,1076.4,1104.0,1111.8,1052.2,40.07,-2.82,7.952399999999999
01-07-2009,1128.0,1076.0,1159.8,1075.6,53.19,4.79,22.9441
01-08-2009,1164.8,1130.0,1186.6,1125.0,56.01,3.26,10.6276
01-09-2009,1222.6,1163.8,1236.0,1153.0,34.39,4.96,24.6016
01-10-2009,1426.6,1221.2,1428.0,1207.4,84.94,16.69,278.5561
01-11-2009,1402.6,1434.0,1451.0,1325.6,134.1,-1.68,2.8223999999999996
01-12-2009,1343.2,1401.2,1461.0,1299.2,188.77,-4.23,17.892900000000004
01-01-2010,1343.2,1340.0,1460.0,1315.2,199.83,0.0,0.0
01-02-2010,1290.8,1346.6,1395.0,1264.0,102.36,-3.9,15.209999999999999
01-03-2010,1117.2,1282.0,1285.0,1112.2,97.57,-13.45,180.90249999999997
01-04-2010,1169.6,1120.0,1181.6,1115.0,96.78,4.69,21.996100000000002
01-05-2010,1265.8,1168.0,1269.0,1133.2,105.96,8.23,67.7329
01-06-2010,1242.2,1268.0,1295.0,1220.2,130.96,-1.86,3.4596000000000005
01-07-2010,1240.8,1241.0,1261.8,1206.0,106.01,-0.11,0.0121
01-08-2010,1233.8,1239.0,1271.6,1216.0,105.95,-0.56,0.31360000000000005
01-09-2010,1233.2,1232.0,1244.0,1190.0,84.72,-0.05,0.0025000000000000005
01-10-2010,1248.2,1231.4,1273.0,1228.6,59.64,1.22,1.4884
01-11-2010,1289.2,1248.6,1311.0,1244.0,50.33,3.28,10.758399999999998
01-12-2010,1337.0,1288.0,1360.0,1261.0,54.42,3.71,13.7641
01-01-2011,1359.4,1335.0,1435.0,1335.0,54.24,1.68,2.8223999999999996
01-02-2011,1250.4,1357.0,1367.8,1230.4,31.52,-8.02,64.32039999999999
01-03-2011,1147.4,1241.0,1251.8,1131.0,47.89,-8.24,67.8976
01-04-2011,1221.4,1148.0,1223.0,1142.4,48.34,6.45,41.6025
01-05-2011,1193.8,1221.8,1245.8,1190.2,81.38,-2.26,5.107599999999999
01-06-2011,1188.0,1192.2,1196.0,1133.4,96.28,-0.49,0.24009999999999998
01-07-2011,1178.8,1185.2,1208.6,1164.0,110.21,-0.77,0.5929
01-08-2011,1136.6,1176.4,1180.0,1108.6,91.64,-3.58,12.8164
01-09-2011,1119.4,1136.2,1178.0,1115.2,104.28,-1.51,2.2801
01-10-2011,1092.6,1112.4,1120.0,1025.0,91.88,-2.39,5.7121
