Date,Price,Open,High,Low,Vol.,Weekly Change (%),Weekly Change (%) Squared
2012-04-08,1232.0,1249.0,1250.0,1231.0,9.29,0.0,0.0
2012-04-15,1181.0,1232.0,1232.0,1155.0,9.76,-4.14,17.139599999999998
2012-04-22,1185.0,1205.0,1211.0,1165.0,26.43,0.34,0.11560000000000002
2012-04-29,1182.0,1193.0,1219.0,1168.0,21.71,-0.25,0.0625
2012-05-06,1172.0,1184.0,1196.0,1170.0,19.23,-0.85,0.7224999999999999
2012-05-13,1132.0,1171.0,1190.0,1111.0,25.56,-3.41,11.628100000000002
2012-05-20,1181.0,1173.0,1195.0,1160.0,20.91,4.33,18.7489
2012-05-27,1164.0,1183.0,1183.0,1156.0,16.32,-1.44,2.0736
2012-06-03,1150.0,1163.0,1164.0,1121.0,23.21,-1.2,1.44
2012-06-10,1153.0,1176.0,1176.0,1142.0,1.4,0.26,0.06760000000000001
2012-06-17,1145.0,1160.0,1160.0,1116.0,5.22,-0.69,0.4760999999999999
2012-06-24,1178.0,1148.0,1198.0,1142.0,21.8,2.88,8.2944
2012-07-01,1186.0,1187.0,1205.0,1160.0,23.13,0.68,0.4624000000000001
2012-07-08,1297.0,1185.0,1299.0,1173.0,2.18,9.36,87.60959999999999
2012-07-15,1350.0,1281.0,1370.0,1281.0,0.87,4.09,16.728099999999998
2012-07-22,1415.0,1436.0,1470.0,1369.0,132.76,4.81,23.136099999999995
2012-07-29,1396.0,1422.0,1438.0,1392.0,56.86,-1.34,1.7956000000000003
2012-08-05,1401.0,1400.0,1428.0,1352.0,11.69,0.36,0.1296
2012-08-12,1465.0,1375.0,1473.0,1375.0,2.5,4.57,20.884900000000002
2012-08-19,1586.0,1435.0,1612.0,1429.0,207.02,8.26,68.2276
2012-08-26,1573.0,1576.0,1610.0,1551.0,112.76,-0.82,0.6723999999999999
2012-09-02,1566.0,1575.0,1588.0,1512.0,33.16,-0.45,0.2025
2012-09-09,1606.0,1579.0,1610.0,1560.0,7.86,2.55,6.5024999999999995
2012-09-16,1527.0,1620.0,1628.0,1523.0,10.52,-4.92,24.2064
2012-09-23,1458.0,1530.0,1535.0,1444.0,48.67,-4.52,20.430399999999995
2012-09-30,1456.0,1463.0,1484.0,1420.0,17.96,-0.14,0.019600000000000003
2012-10-07,1564.0,1475.0,1588.0,1475.0,10.04,7.42,55.0564
2012-10-14,1589.0,1550.0,1605.0,1541.0,7.13,1.6,2.5600000000000005
2012-10-21,1543.0,1545.0,1558.0,1525.0,16.12,-2.89,8.3521
2012-10-28,1583.0,1545.0,1595.0,1533.0,43.17,2.59,6.708099999999999
2012-11-04,1631.0,1581.0,1638.0,1539.0,19.92,3.03,9.1809
2012-11-11,1657.0,1612.0,1678.0,1593.0,3.75,1.59,2.5281000000000002
2012-11-18,1599.0,1655.0,1705.0,1571.0,29.23,-3.5,12.25
2012-11-25,1608.0,1597.0,1615.0,1576.0,29.63,0.56,0.31360000000000005
2012-12-02,1624.0,1601.0,1630.0,1592.0,23.21,1.0,1.0
2012-12-09,1620.0,1628.0,1628.0,1615.0,4.38,-0.25,0.0625
2012-12-16,1582.0,1620.0,1625.0,1577.0,8.25,-2.35,5.522500000000001
2012-12-23,1587.0,1584.0,1598.0,1580.0,10.05,0.32,0.1024
2012-12-30,1574.0,1587.0,1595.0,1572.0,13.09,-0.82,0.6723999999999999
2013-01-06,1533.0,1568.0,1576.0,1512.0,7.29,-2.6,6.760000000000001
2013-01-13,1570.0,1579.0,1589.0,1536.0,1.92,2.41,5.8081000000000005
2013-01-20,1544.0,1509.0,1559.0,1507.0,26.36,-1.66,2.7556
2013-01-27,1529.0,1542.0,1572.0,1525.0,18.92,-0.97,0.9409
2013-02-03,1550.0,1528.0,1557.0,1505.0,8.96,1.37,1.8769000000000002
2013-02-10,1595.0,1535.0,1595.0,1535.0,0.76,2.9,8.41
2013-02-17,1515.0,1600.0,1635.0,1498.0,5.45,-5.02,25.200399999999995
2013-02-24,1521.0,1511.0,1539.0,1511.0,10.89,0.4,0.16000000000000003
2013-03-03,1552.0,1520.0,1571.0,1503.0,21.37,2.04,4.1616
2013-03-10,1547.0,1546.0,1558.0,1538.0,3.41,-0.32,0.1024
2013-03-17,1434.0,1565.0,1565.0,1429.0,6.8,-7.3,53.29
2013-03-24,1404.0,1436.0,1436.0,1401.0,6.38,-2.09,4.368099999999999
2013-03-31,1400.0,1401.0,1424.0,1370.0,17.4,-0.28,0.07840000000000001
2013-04-07,1426.0,1419.0,1430.0,1404.0,1.63,1.86,3.4596000000000005
2013-04-14,1465.0,1435.0,1468.0,1420.0,1.04,2.73,7.4529
2013-04-21,1479.0,1436.0,1530.0,1436.0,26.39,0.96,0.9216
2013-04-28,1487.0,1473.0,1494.0,1466.0,8.23,0.54,0.2916
2013-05-05,1491.0,1398.0,1493.0,1391.0,7.62,0.27,0.0729
2013-05-12,1536.0,1489.0,1539.0,1487.0,2.85,3.02,9.1204
2013-05-19,1599.0,1540.0,1600.0,1533.0,26.64,4.1,16.81
2013-05-26,1608.0,1605.0,1615.0,1580.0,16.43,0.56,0.31360000000000005
2013-06-02,1607.0,1604.0,1614.0,1586.0,24.8,-0.06,0.0036
2013-06-09,1593.0,1591.0,1633.0,1591.0,7.02,-0.87,0.7569
2013-06-16,1578.0,1591.0,1601.0,1570.0,6.86,-0.94,0.8835999999999999
2013-06-23,1567.0,1569.0,1577.0,1558.0,10.22,-0.7,0.48999999999999994
2013-06-30,1539.0,1564.0,1576.0,1526.0,18.51,-1.79,3.2041
2013-07-07,1555.0,1550.0,1559.0,1545.0,1.05,1.04,1.0816000000000001
2013-07-14,1554.0,1551.0,1588.0,1550.0,0.89,-0.06,0.0036
2013-07-21,1573.0,1581.0,1583.0,1549.0,9.24,1.22,1.4884
2013-07-28,1556.0,1572.0,1576.0,1550.0,7.26,-1.08,1.1664
2013-08-04,1567.0,1590.0,1603.0,1552.0,7.81,0.71,0.5041
2013-08-11,1600.0,1570.0,1605.0,1565.0,10.93,2.11,4.4521
2013-08-18,1586.0,1601.0,1610.0,1575.0,8.63,-0.88,0.7744
2013-08-25,1558.0,1589.0,1591.0,1541.0,16.19,-1.77,3.1329000000000002
2013-09-01,1578.0,1555.0,1597.0,1550.0,10.45,1.28,1.6384
2013-09-08,1560.0,1570.0,1580.0,1550.0,3.67,-1.14,1.2995999999999999
2013-09-15,1560.0,1556.0,1577.0,1552.0,8.22,0.0,0.0
2013-09-22,1545.0,1574.0,1574.0,1541.0,7.14,-0.96,0.9216
2013-09-29,1533.0,1542.0,1553.0,1530.0,5.05,-0.78,0.6084
2013-10-06,1560.0,1544.0,1565.0,1531.0,5.79,1.76,3.0976
2013-10-13,1605.0,1561.0,1688.0,1561.0,0.08,2.88,8.2944
2013-10-20,1604.0,1616.0,1621.0,1600.0,5.9,-0.06,0.0036
2013-10-27,1623.0,1599.0,1627.0,1592.0,6.89,1.18,1.3923999999999999
2013-11-03,1609.0,1630.0,1634.0,1605.0,4.88,-0.86,0.7395999999999999
2013-11-10,1618.0,1605.0,1620.0,1589.0,5.11,0.56,0.31360000000000005
2013-11-17,1662.0,1618.0,1665.0,1605.0,2.01,2.72,7.398400000000001
2013-11-24,1668.0,1662.0,1683.0,1657.0,3.42,0.36,0.1296
2013-12-01,1663.0,1667.0,1674.0,1658.0,2.17,-0.3,0.09
