Date,Open,High,Low,Close,Volume,Daily Change (%),Daily Change (%) Squared
2000-09-21,296.0,296.0,292.0,293.75,4842,0.0,0.0
2000-09-22,293.5,297.0,293.25,295.5,3945,0.6,0.36
2000-09-25,297.5,300.0,297.0,299.5,5073,1.35,1.8225000000000002
2000-09-26,301.0,303.5,299.75,302.0,9180,0.83,0.6889
2000-09-27,301.5,308.0,301.0,307.75,11145,1.9,3.61
2000-09-28,310.0,312.0,310.0,310.75,12214,0.97,0.9409
2000-09-29,318.0,320.0,316.5,320.0,8930,2.98,8.8804
2000-10-02,325.0,325.0,318.0,321.0,6026,0.31,0.0961
2000-10-03,319.5,321.0,316.0,320.5,7291,-0.16,0.0256
2000-10-04,318.0,321.0,317.0,318.0,7042,-0.78,0.6084
2000-10-05,314.5,316.25,313.0,315.5,6182,-0.79,0.6241000000000001
2000-10-06,315.5,320.0,315.0,318.5,3357,0.95,0.9025
2000-10-09,317.5,319.5,316.5,318.5,8208,0.0,0.0
2000-10-10,318.5,325.75,318.5,325.5,9942,2.2,4.840000000000001
2000-10-11,325.0,328.5,324.25,326.5,8015,0.31,0.0961
2000-10-12,330.0,331.5,326.5,326.75,8199,0.08,0.0064
2000-10-13,325.5,325.5,319.0,320.0,5425,-2.07,4.2848999999999995
2000-10-16,319.5,324.5,317.5,324.0,8209,1.25,1.5625
2000-10-17,323.0,323.5,315.0,319.5,8377,-1.39,1.9320999999999997
2000-10-18,316.5,316.5,312.0,312.75,9141,-2.11,4.4521
2000-10-19,312.0,312.75,308.5,308.75,4938,-1.28,1.6384
2000-10-20,308.5,312.0,308.25,309.0,5912,0.08,0.0064
2000-10-23,306.5,307.0,303.5,306.0,5336,-0.97,0.9409
2000-10-24,305.0,306.0,301.0,305.5,5418,-0.16,0.0256
2000-10-25,305.5,306.5,302.5,303.75,5106,-0.57,0.32489999999999997
2000-10-26,304.0,306.5,303.75,305.0,5784,0.41,0.16809999999999997
2000-10-27,306.0,310.0,306.0,309.75,4037,1.56,2.4336
2000-10-30,310.0,310.25,304.5,305.75,4832,-1.29,1.6641000000000001
2000-10-31,304.25,308.0,303.0,305.5,3432,-0.08,0.0064
2000-11-01,306.5,308.0,305.5,305.5,5880,0.0,0.0
2000-11-02,309.25,313.0,308.5,312.5,7045,2.29,5.2441
2000-11-03,313.25,319.0,313.0,318.75,5118,2.0,4.0
