Date,Open,High,Low,Close,Volume,Monthly Change (%),Monthly Change (%) Squared
2000-11-01,306.5,320.0,305.0,309.0,114654,0.0,0.0
2000-12-01,309.0,330.0,298.5,330.0,34699,6.8,46.239999999999995
2001-01-01,329.0,340.0,313.0,318.25,122622,-3.56,12.6736
2001-02-01,317.0,319.5,304.5,311.25,101874,-2.2,4.840000000000001
2001-03-01,315.5,325.5,301.0,301.25,22684,-3.21,10.3041
2001-05-01,332.0,333.5,312.0,323.5,48724,7.39,54.6121
2001-06-01,326.75,330.0,289.25,293.0,146138,-9.43,88.9249
2001-08-01,305.5,308.0,291.75,299.0,105826,2.05,4.2025
2001-09-01,298.0,298.25,281.0,292.5,36548,-2.17,4.7089
2001-10-01,290.5,302.0,279.5,301.5,108392,3.08,9.4864
2001-11-01,300.0,300.25,280.0,286.25,103671,-5.06,25.603599999999997
2001-12-01,286.0,289.0,271.5,284.0,24730,-0.79,0.6241000000000001
2002-01-01,283.5,297.5,281.0,285.5,112593,0.53,0.28090000000000004
2002-02-01,286.0,291.0,276.5,276.75,97080,-3.06,9.3636
2002-03-01,277.0,300.0,273.5,290.0,41649,4.79,22.9441
2002-04-01,289.0,300.0,271.25,274.0,89045,-5.52,30.470399999999994
2002-05-01,275.0,293.75,272.25,293.0,46144,6.93,48.024899999999995
2002-06-01,294.5,325.0,292.5,322.5,127310,10.07,101.40490000000001
2002-07-01,325.0,372.0,325.0,368.5,49248,14.26,203.3476
2002-08-01,375.0,425.0,369.0,423.0,93062,14.79,218.74409999999997
2002-10-01,476.0,487.0,450.0,463.5,148843,9.57,91.5849
2002-11-01,462.0,475.0,396.0,432.75,110140,-6.63,43.9569
2003-01-01,358.0,370.75,332.5,356.25,99598,-17.68,312.5824
2003-02-01,355.0,365.0,338.5,341.0,82558,-4.28,18.3184
2003-03-01,343.0,360.0,312.25,320.75,23275,-5.94,35.28360000000001
2003-04-01,320.75,327.25,315.0,321.5,59257,0.23,0.0529
2003-05-01,321.0,375.0,320.0,327.25,46450,1.79,3.2041
2003-07-01,299.0,343.0,294.5,342.25,65154,4.58,20.9764
2003-08-01,343.25,392.5,342.0,365.25,126031,6.72,45.15839999999999
2003-09-01,361.0,362.5,331.5,356.75,49642,-2.33,5.4289000000000005
2003-10-01,356.0,379.0,326.0,366.75,157334,2.8,7.839999999999999
2003-11-01,366.5,406.0,358.5,405.0,127857,10.43,108.7849
