Date,Open,High,Low,Close,Volume,Weekly Change (%),Weekly Change (%) Squared
2000-09-18,296.0,297.0,292.0,295.5,8787,0.0,0.0
2000-09-25,297.5,320.0,297.0,320.0,46542,8.29,68.72409999999999
2000-10-02,325.0,325.0,313.0,318.5,29898,-0.47,0.22089999999999999
2000-10-09,317.5,331.5,316.5,320.0,39789,0.47,0.22089999999999999
2000-10-16,319.5,324.5,308.25,309.0,36577,-3.44,11.833599999999999
2000-10-23,306.5,310.0,301.0,309.75,25681,0.24,0.0576
2000-10-30,310.0,319.0,303.0,318.75,26307,2.91,8.468100000000002
2000-11-06,320.0,320.0,307.0,307.75,23409,-3.45,11.902500000000002
2000-11-13,307.5,311.0,306.0,309.5,25386,0.57,0.32489999999999997
2000-11-20,310.5,318.5,307.75,318.25,22059,2.83,8.0089
2000-11-27,319.0,319.0,305.0,312.0,26608,-1.96,3.8415999999999997
2000-12-04,311.75,313.0,302.0,307.0,3074,-1.6,2.5600000000000005
2000-12-11,307.5,307.5,298.5,298.5,71,-2.77,7.6729
2000-12-18,301.0,328.0,301.0,327.5,16528,9.72,94.47840000000001
2000-12-25,327.0,330.0,321.75,330.0,14175,0.76,0.5776
2001-01-01,329.0,332.0,324.25,331.5,19798,0.45,0.2025
2001-01-08,330.0,340.0,327.25,337.5,36953,1.81,3.2761
2001-01-15,334.0,335.5,330.5,332.5,17045,-1.48,2.1904
2001-01-22,331.5,334.0,325.0,325.0,31543,-2.26,5.107599999999999
2001-01-29,320.0,322.0,313.0,318.5,24635,-2.0,4.0
2001-02-05,318.0,318.25,311.5,312.0,21244,-2.04,4.1616
2001-02-12,311.25,313.75,306.25,310.0,27887,-0.64,0.4096
2001-02-19,311.0,312.5,305.25,307.0,31668,-0.97,0.9409
2001-02-26,307.5,317.5,304.5,316.0,14645,2.93,8.584900000000001
2001-03-05,319.5,321.0,314.75,317.0,742,0.32,0.1024
2001-03-12,320.5,325.5,310.5,310.5,374,-2.05,4.2025
2001-03-19,307.5,307.5,303.5,306.75,7169,-1.21,1.4641
2001-03-26,309.25,314.0,301.0,301.25,13477,-1.79,3.2041
2001-04-02,303.75,312.0,301.5,309.0,14887,2.57,6.604899999999999
2001-04-09,309.5,317.0,302.25,313.25,15410,1.38,1.9043999999999996
2001-04-16,320.0,323.0,314.5,319.75,17622,2.08,4.3264000000000005
2001-04-23,320.0,332.0,313.0,323.75,23551,1.25,1.5625
2001-04-30,326.0,333.5,319.5,321.75,1823,-0.62,0.3844
2001-05-07,322.0,323.0,314.5,323.0,161,0.39,0.1521
2001-05-14,331.5,333.0,323.25,324.0,322,0.31,0.0961
2001-05-21,319.5,323.5,314.0,314.0,30587,-3.09,9.5481
2001-05-28,314.0,330.0,312.0,328.25,21813,4.54,20.6116
2001-06-04,326.0,326.5,311.0,317.5,29703,-3.27,10.6929
2001-06-11,317.5,320.0,308.0,308.25,31687,-2.91,8.468100000000002
2001-06-18,307.0,314.0,301.5,301.75,38821,-2.11,4.4521
2001-06-25,300.0,300.75,289.25,293.0,40914,-2.9,8.41
2001-07-02,290.5,300.5,290.0,298.5,690,1.88,3.5343999999999998
2001-07-09,297.5,312.0,295.75,311.5,106,4.36,19.009600000000002
2001-07-16,308.0,316.0,304.0,306.0,2959,-1.77,3.1329000000000002
2001-07-23,311.25,317.5,309.0,310.25,20849,1.39,1.9320999999999997
2001-07-30,308.5,308.5,297.5,297.5,22572,-4.11,16.892100000000003
2001-08-06,297.5,306.0,296.25,300.75,16750,1.09,1.1881000000000002
2001-08-13,300.5,302.0,291.75,296.75,23131,-1.33,1.7689000000000001
2001-08-20,292.5,303.5,292.0,300.5,25779,1.26,1.5876000000000001
2001-08-27,297.5,301.0,294.5,299.0,26408,-0.5,0.25
2001-09-03,298.0,298.25,289.5,290.0,1305,-3.01,9.060099999999998
2001-09-10,290.75,293.75,285.5,285.5,98,-1.55,2.4025000000000003
2001-09-17,286.0,294.5,281.0,292.5,12513,2.45,6.002500000000001
2001-09-24,293.0,296.0,290.0,292.5,22632,0.0,0.0
2001-10-01,290.5,290.5,280.5,286.0,22540,-2.22,4.928400000000001
2001-10-08,286.5,289.5,282.0,283.75,24068,-0.79,0.6241000000000001
2001-10-15,283.0,297.5,279.5,294.0,26052,3.61,13.0321
2001-10-22,293.75,302.0,288.5,301.5,23421,2.55,6.5024999999999995
2001-10-29,300.5,301.75,293.5,293.75,18790,-2.57,6.604899999999999
2001-11-05,291.5,297.5,288.0,290.75,19649,-1.02,1.0404
2001-11-12,289.25,291.375,281.5,289.5,25601,-0.43,0.18489999999999998
2001-11-19,289.0,292.0,286.0,289.5,20046,0.0,0.0
2001-11-26,289.0,289.0,280.0,286.25,31896,-1.12,1.2544000000000002
2001-12-03,286.0,288.0,279.0,282.0,441,-1.48,2.1904
2001-12-10,279.5,279.5,271.5,278.0,27,-1.42,2.0164
2001-12-17,278.0,289.0,273.5,283.0,11723,1.8,3.24
2001-12-24,283.0,286.0,280.0,285.5,8996,0.88,0.7744
2001-12-31,284.0,292.0,281.0,291.0,23763,1.93,3.7249
2002-01-07,290.5,295.5,287.5,293.0,25317,0.69,0.4760999999999999
2002-01-14,295.0,297.5,290.0,293.75,22666,0.26,0.06760000000000001
2002-01-21,292.5,297.0,288.0,296.0,22684,0.77,0.5929
2002-01-28,293.0,293.25,282.0,286.25,25405,-3.29,10.8241
2002-02-04,286.25,287.0,282.5,286.25,16731,0.0,0.0
2002-02-11,285.5,287.0,280.0,281.5,25465,-1.66,2.7556
2002-02-18,282.0,291.0,281.5,288.25,30862,2.4,5.76
2002-02-25,290.0,290.0,276.5,279.5,20937,-3.04,9.2416
2002-03-04,279.0,285.0,277.0,280.0,589,0.18,0.0324
2002-03-11,279.0,282.0,273.5,282.0,75,0.71,0.5041
2002-03-18,280.0,285.75,276.0,282.0,11359,0.0,0.0
2002-03-25,281.5,300.0,280.5,290.0,29012,2.84,8.0656
2002-04-01,289.0,300.0,289.0,291.5,23555,0.52,0.27040000000000003
